Soil_Type,pH_Level,Nitrogen,Phosphorus,Potassium,Organic_Matter,Soil_Moisture,Temperature,Humidity,Rainfall,Wind_Speed,Water_Table,Location,Altitude,Best_Crop
Sandy,7.44,97.26,147.62,141.77,2.05,Wet,19.05,22.56,1793.16,12.16,5.12,Temperate,663.75,Maize
Sandy,7.41,182.63,134.82,38.28,4.39,Moderate,23.26,80.65,1823.97,7.69,9.71,Tropical,170.79,Soybean
Loamy,6.58,167.52,148.76,246.37,4.88,Wet,36.85,48.57,766.09,14.33,9.21,Temperate,479.09,Barley
Loamy,8.24,199.22,34.31,169.39,0.55,Dry,29.73,58.98,878.24,1.74,2.52,Temperate,1840.97,Wheat
Sandy,7.9,258.24,108.22,167.77,3.64,Moderate,11.07,74.2,713.39,3.51,3.26,Temperate,137.68,Barley
Sandy,6.69,97.18,69.06,164.08,4.85,Dry,38.55,40.5,1959.84,4.84,5.91,Arid,1071.19,Rice
Sandy,6.68,287.26,14.32,71.59,4.39,Wet,13.23,35.23,1633.15,6.41,5.6,Tropical,965.26,Soybean
Loamy,6.02,68.66,68.19,119.68,4.84,Dry,37.46,89.09,1265.92,14.49,0.7,Tropical,507.75,Sugarcane
Clay,7.93,260.96,88.61,220.2,3.15,Dry,37.7,60.14,1689.5,10.36,1.77,Temperate,1062.56,Maize
Clay,6.29,79.52,130.81,144.51,4.37,Moderate,39.98,78.53,923.51,14.47,2.32,Tropical,941.36,Wheat
Sandy,5.33,70.98,22.29,230.07,3.24,Dry,39.86,49.07,1731.08,9.49,7.77,Tropical,1219.41,Maize
Clay,7.66,126.44,45.63,228.77,4.97,Moderate,38.47,49.25,712.58,16.46,9.05,Tropical,642.01,Sugarcane
Clay,8.17,264.55,11.79,125.18,0.57,Moderate,10.64,24.8,643.4,16.71,6.61,Tropical,347.8,Wheat
Sandy,5.96,60.93,54.55,124.03,1.51,Dry,31.74,81.69,1929.82,10.68,5.26,Temperate,834.98,Soybean
Clay,7.85,119.74,96.04,12.72,4.07,Dry,17.09,45.82,1771.15,4.54,8.98,Tropical,725.23,Barley
Clay,6.55,28.71,89.07,171.36,3.13,Wet,12.33,62.88,609.04,4.66,1.43,Arid,857.29,Wheat
Loamy,5.84,290.32,145.7,249.82,1.04,Dry,18.43,58.98,1034.75,10.25,4.07,Arid,1524.07,Wheat
Loamy,5.37,165.49,54.39,37.52,1.2,Wet,36.79,24.77,1024.71,8.26,7.75,Temperate,207.52,Sugarcane
Clay,6.13,148.02,49.09,132.17,1.91,Moderate,26.85,48.94,1287.54,12.6,5.79,Arid,921.56,Rice
Sandy,5.75,71.86,16.81,30.63,3.4,Dry,25.17,42.94,1009.42,9.35,5.18,Arid,460.85,Sugarcane
Sandy,5.05,137.58,130.31,15.77,1.76,Wet,25.89,74.55,1194.21,7.24,3.63,Tropical,713.71,Wheat
Sandy,5.99,233.5,34.72,81.48,3.16,Dry,18.67,72.73,1748.21,14.1,3.02,Tropical,1822.34,Wheat
Loamy,7.69,152.27,56.74,208.33,2.24,Wet,23.77,32.66,538.46,10.8,2.72,Tropical,1116.09,Barley
Clay,7.47,260.34,27.83,201.95,2.7,Moderate,25.76,44.42,1594.66,13.24,7.13,Tropical,1833.01,Wheat
Sandy,7.46,199.18,79.39,184.31,2.5,Moderate,29.77,31.9,1757.05,11.18,9.97,Tropical,1249.21,Barley
Sandy,5.64,15.72,47.32,198.04,2.48,Moderate,26.13,45.39,869.81,4.11,9.0,Temperate,1772.22,Wheat
Sandy,8.19,35.44,124.42,90.27,3.28,Dry,20.2,21.02,1270.55,1.06,6.89,Arid,1708.08,Barley
Clay,6.67,295.36,146.38,50.94,3.95,Dry,20.75,70.07,924.74,13.85,3.31,Arid,112.94,Maize
Loamy,5.77,210.99,91.59,215.7,4.79,Wet,19.46,27.61,565.72,18.28,3.49,Arid,1291.74,Soybean
Clay,8.47,110.9,138.45,148.07,2.74,Wet,37.03,39.46,1755.59,12.65,7.86,Temperate,1583.08,Wheat
Sandy,7.6,159.77,107.06,42.77,0.66,Dry,16.72,68.29,1764.04,10.05,9.54,Temperate,1257.12,Maize
Clay,6.62,112.88,85.44,201.42,4.65,Moderate,14.41,53.42,1168.98,14.67,9.33,Tropical,1052.2,Barley
Loamy,7.07,70.1,143.7,32.98,2.56,Dry,38.03,72.48,802.77,15.26,8.67,Arid,1554.48,Rice
Sandy,6.67,133.62,56.35,220.0,1.94,Dry,25.98,67.39,635.33,6.23,4.81,Tropical,1553.73,Barley
Clay,7.44,38.54,89.35,113.59,4.77,Dry,16.98,34.41,1167.48,19.7,6.09,Arid,201.16,Soybean
Clay,5.01,123.51,29.35,243.62,1.6,Wet,10.25,76.49,1772.13,15.16,7.51,Arid,376.74,Sugarcane
Sandy,6.31,230.79,114.76,220.79,2.97,Dry,20.9,38.36,1476.55,16.01,2.17,Temperate,491.95,Sugarcane
Clay,7.33,175.41,141.33,151.56,0.55,Dry,11.05,84.65,1739.21,6.76,9.21,Tropical,667.34,Barley
Clay,6.34,268.46,14.66,169.91,4.96,Dry,11.71,60.38,1621.07,17.53,9.71,Arid,1702.86,Maize
Clay,7.06,163.2,12.32,238.73,3.16,Wet,28.61,58.9,539.23,15.29,3.8,Tropical,1617.93,Barley
Sandy,5.84,49.3,142.52,174.36,1.64,Dry,19.12,49.0,1505.29,5.73,1.37,Temperate,127.97,Maize
Sandy,7.6,204.7,50.63,230.59,0.78,Wet,22.86,80.18,1753.44,14.13,7.02,Tropical,1796.59,Maize
Sandy,5.37,112.85,43.56,64.16,4.61,Dry,22.6,83.52,1530.11,8.44,3.06,Arid,134.48,Wheat
Clay,5.63,40.7,139.69,39.36,4.0,Wet,39.4,21.33,613.77,10.65,2.49,Arid,600.24,Sugarcane
Sandy,5.79,17.83,49.59,187.13,0.55,Moderate,37.56,48.27,724.02,11.19,5.26,Tropical,233.35,Rice
Sandy,8.1,191.33,51.57,73.5,2.58,Dry,24.68,34.58,510.69,11.05,5.71,Tropical,1910.9,Barley
Sandy,8.12,236.28,122.05,230.02,1.89,Wet,35.69,78.19,1526.72,7.56,8.28,Arid,1819.89,Wheat
Loamy,7.42,110.48,143.78,80.83,3.47,Dry,19.23,29.29,936.07,16.97,9.89,Tropical,1760.71,Soybean
Sandy,6.79,253.96,119.07,104.63,2.66,Wet,11.16,29.53,786.51,0.94,8.43,Arid,1067.51,Rice
Loamy,7.82,139.39,97.25,121.91,4.36,Dry,16.01,61.6,1465.39,2.27,3.99,Temperate,1491.34,Wheat
Loamy,6.36,265.53,73.08,35.34,0.73,Wet,33.27,25.62,1671.98,10.53,5.12,Arid,61.94,Wheat
Clay,6.43,162.4,48.46,155.32,3.77,Moderate,38.14,87.52,1796.51,13.15,7.06,Temperate,1368.54,Maize
Clay,7.45,175.98,11.63,103.48,3.41,Wet,19.28,88.28,991.19,12.27,5.93,Arid,1499.91,Wheat
Sandy,7.1,12.61,128.66,43.24,2.22,Dry,19.76,41.78,1554.27,12.66,3.98,Temperate,1698.79,Barley
Sandy,6.85,299.62,137.76,103.91,1.71,Moderate,13.86,84.06,1653.7,1.03,8.53,Temperate,432.76,Rice
Sandy,6.53,257.82,34.92,73.0,3.01,Moderate,12.77,76.99,1618.14,17.82,3.23,Arid,93.4,Wheat
Clay,5.61,106.55,40.33,175.21,3.08,Dry,22.44,63.72,1425.77,13.5,8.66,Tropical,420.3,Rice
Loamy,5.67,38.05,51.13,224.77,4.65,Moderate,29.64,72.01,523.02,16.37,9.48,Tropical,1430.21,Rice
Clay,6.77,70.72,113.87,115.85,2.48,Dry,18.68,55.45,1131.33,8.0,9.46,Tropical,1014.82,Wheat
Loamy,5.52,260.48,70.67,26.68,1.47,Moderate,17.26,48.58,1353.06,0.58,0.67,Temperate,971.01,Sugarcane
Sandy,7.61,62.22,7.41,119.91,1.28,Dry,22.52,74.52,1996.7,6.58,8.37,Temperate,1835.91,Rice
Sandy,6.34,246.99,41.55,191.3,1.12,Dry,32.81,61.58,1589.81,19.74,6.76,Tropical,627.25,Barley
Loamy,7.27,207.03,34.76,15.62,1.71,Moderate,13.1,73.15,845.68,14.37,7.68,Tropical,472.59,Rice
Sandy,5.65,168.52,31.8,193.42,2.2,Wet,19.41,39.34,605.33,4.34,6.77,Tropical,1036.15,Maize
Loamy,5.11,250.42,22.15,87.23,2.89,Dry,37.84,41.98,753.33,17.88,0.71,Temperate,1238.1,Barley
Sandy,5.97,278.61,117.2,103.67,0.96,Dry,20.29,65.63,1822.24,2.32,8.74,Arid,1084.45,Rice
